date,Merchant,Barges,Other,Tugs,Tanker,Fishing,Pleasure Crafts,Excursion
2012-11-01,1701,47,3,189,424,95,5,13
2012-11-06,1683,73,5,220,351,85,9,9
2012-11-11,1747,70,1,166,431,99,16,11
2012-11-16,1776,35,6,194,418,110,7,10
2012-11-21,1797,55,2,174,429,71,10,11
2012-11-26,1737,56,1,176,423,81,11,6
2012-12-01,1688,67,3,158,430,74,10,12
2012-12-06,1701,83,4,251,444,86,11,20
2012-12-11,1655,62,6,198,392,58,5,10
2012-12-16,1655,48,0,214,409,55,3,8
2012-12-21,1616,24,0,161,380,23,2,7
2012-12-26,1635,29,0,167,433,57,0,8
2013-01-01,1177,27,0,148,377,37,0,8
2013-01-06,1274,47,2,171,351,72,0,5
2013-01-11,1196,39,4,187,340,135,0,6
2013-01-16,970,40,3,181,340,69,3,3
2013-01-21,933,42,3,161,291,46,0,0
2013-01-26,1206,49,0,216,376,59,0,4
2013-02-01,914,60,0,188,344,44,0,0
2013-02-06,989,53,3,147,335,48,0,0
2013-02-11,1021,39,4,198,333,48,0,5
2013-02-16,1058,48,0,179,327,41,1,18
2013-02-21,1098,53,8,225,329,58,0,1
2013-02-26,686,24,1,96,172,32,0,5
2013-03-01,1051,49,0,183,264,54,10,2
2013-03-06,1121,46,1,140,336,57,10,12
2013-03-11,963,38,5,186,304,49,18,0
2013-03-16,1089,37,2,200,341,43,15,0
2013-03-21,1306,33,6,212,331,52,19,6
2013-03-26,1614,71,5,244,455,135,21,8
2013-04-01,1472,75,2,225,358,75,29,2
2013-04-06,1456,62,0,259,404,86,16,10
2013-04-11,1415,79,4,209,387,91,21,10
2013-04-16,1521,80,10,210,432,72,21,11
2013-04-21,1595,49,5,175,429,99,25,33
2013-04-26,1659,72,7,232,429,78,19,29
2013-05-01,1631,65,3,204,390,76,12,93
2013-05-06,1787,87,5,283,418,107,32,83
2013-05-11,1721,74,0,254,445,85,15,87
2013-05-16,1800,57,2,222,418,82,24,169
2013-05-21,1778,67,5,221,422,79,25,127
2013-05-26,2052,86,0,307,555,112,64,220
2013-06-01,1734,60,0,232,433,134,39,200
2013-06-06,1684,71,3,238,427,155,70,238
2013-06-11,1844,93,4,321,458,148,71,312
2013-06-16,1710,94,3,258,468,127,41,323
2013-06-21,1742,71,3,306,446,124,25,419
2013-06-26,1681,88,6,259,380,146,51,370
2013-07-01,1678,81,3,255,380,141,85,444
2013-07-06,1610,81,2,303,390,131,75,500
2013-07-11,1629,71,3,257,371,150,50,536
2013-07-16,1680,67,3,270,340,125,77,511
2013-07-21,1649,93,1,261,339,144,32,450
2013-07-26,2007,80,6,398,384,178,48,629
2013-08-01,1714,59,7,284,326,131,80,499
2013-08-06,1710,85,7,254,352,112,73,536
2013-08-11,1783,83,10,273,351,130,65,431
2013-08-16,1804,93,10,266,389,169,81,475
2013-08-21,1865,72,8,240,428,146,60,476
2013-08-26,2175,94,7,299,541,205,122,456
2013-09-01,1634,66,7,248,394,178,92,258
2013-09-06,1792,65,5,259,400,176,50,317
2013-09-11,1919,94,5,225,401,157,63,277
2013-09-16,1991,80,3,286,417,120,68,298
2013-09-21,1976,73,5,219,388,117,43,312
2013-09-26,2043,58,4,272,389,133,33,267
2013-10-01,1939,77,3,243,352,177,23,178
2013-10-06,1906,89,3,271,382,142,41,167
2013-10-11,1856,75,0,186,347,141,36,146
2013-10-16,1802,81,0,216,343,119,33,106
2013-10-21,1811,120,1,293,419,146,33,80
2013-10-26,2106,181,7,337,496,138,27,46
2013-11-01,1666,79,5,316,346,88,7,16
2013-11-06,1704,101,4,272,367,76,7,27
2013-11-11,1739,85,0,305,395,131,6,4
2013-11-16,1836,51,2,257,376,86,10,7
2013-11-21,1885,76,3,281,376,107,5,7
2013-11-26,1835,88,4,272,451,91,7,4
2013-12-01,1648,61,0,240,413,79,6,5
2013-12-06,1554,60,6,242,418,73,6,9
2013-12-11,1566,65,6,250,442,63,5,6
2013-12-16,1645,61,4,253,412,71,6,1
2013-12-21,1537,36,0,190,380,38,7,5
2013-12-26,1704,30,0,234,476,39,6,0
2014-01-01,1324,35,0,122,378,42,6,1
2014-01-06,1151,43,5,259,341,64,6,1
2014-01-11,1264,53,1,241,364,127,5,0
2014-01-16,1214,56,3,203,378,86,6,2
2014-01-21,1201,62,3,220,361,50,8,16
2014-01-26,1258,53,4,238,422,81,9,20
2014-02-01,1087,38,0,227,395,48,5,7
2014-02-06,945,52,0,186,337,48,8,1
2014-02-11,981,54,10,225,358,54,11,12
2014-02-16,918,47,5,202,343,59,6,10
2014-02-21,986,42,6,191,320,58,6,24
2014-02-26,638,52,7,142,199,28,5,12
2014-03-01,1006,60,3,164,335,75,11,16
2014-03-06,1088,46,5,171,351,81,20,16
2014-03-11,949,48,6,194,303,59,20,5
2014-03-16,1000,46,14,176,329,53,19,18
2014-03-21,1066,29,2,178,320,41,17,12
2014-03-26,1371,60,8,227,398,94,22,27
2014-04-01,1380,59,10,238,327,83,27,10
2014-04-06,1386,60,10,177,339,78,22,18
2014-04-11,1516,57,7,175,358,69,17,20
2014-04-16,1574,66,3,202,384,51,14,38
2014-04-21,1550,40,3,209,370,75,19,25
2014-04-26,1692,43,0,144,378,87,18,29
2014-05-01,1840,44,4,165,471,80,29,63
2014-05-06,1929,78,4,176,462,72,32,122
2014-05-11,1944,62,4,220,449,106,41,95
2014-05-16,1968,54,7,229,430,61,19,145
2014-05-21,2023,55,0,211,420,90,27,157
2014-05-26,2497,73,3,281,492,127,37,195
2014-06-01,1952,65,4,274,437,156,42,225
2014-06-06,1961,68,3,214,466,151,39,264
2014-06-11,1966,73,11,214,433,124,24,260
2014-06-16,1926,73,6,235,398,97,51,300
2014-06-21,1926,99,0,219,391,99,58,376
2014-06-26,2060,72,2,225,433,96,38,483
2014-07-01,2057,86,1,230,457,95,51,442
2014-07-06,1990,73,2,271,455,89,28,405
2014-07-11,1972,57,1,262,458,112,59,479
2014-07-16,2032,85,2,200,448,121,50,507
2014-07-21,2065,92,2,181,426,130,59,507
2014-07-26,2452,81,1,232,522,158,106,540
2014-08-01,2028,76,3,216,454,130,105,531
2014-08-06,2100,82,2,245,441,129,103,501
2014-08-11,2001,70,3,227,453,139,114,356
2014-08-16,1976,59,2,185,473,139,114,456
2014-08-21,2007,57,4,189,430,139,127,485
2014-08-26,2430,77,4,246,508,174,153,500
2014-09-01,1989,81,0,214,423,125,103,262
2014-09-06,2035,84,2,206,415,117,99,272
2014-09-11,1989,66,4,207,409,137,88,275
2014-09-16,2072,98,7,291,373,123,60,279
2014-09-21,1959,80,0,230,440,155,39,227
2014-09-26,1965,78,6,236,412,134,52,234
2014-10-01,1900,86,3,230,397,108,45,139
2014-10-06,1876,90,3,245,395,101,49,118
2014-10-11,1913,74,0,209,401,116,28,141
2014-10-16,2033,85,5,226,412,102,33,77
2014-10-21,2056,77,2,265,426,98,32,34
2014-10-26,2390,97,3,317,489,145,23,24
2014-11-01,1831,100,0,190,358,105,13,13
2014-11-06,1990,73,5,244,401,112,13,16
2014-11-11,2029,73,0,230,420,118,14,4
2014-11-16,1914,57,0,230,440,104,22,5
2014-11-21,2011,93,2,229,401,77,14,12
2014-11-26,1936,80,1,246,426,74,16,12
2014-12-01,1880,54,2,276,466,80,13,8
2014-12-06,1788,54,0,179,420,80,11,5
2014-12-11,1836,57,2,261,462,60,12,13
2014-12-16,1801,63,5,255,458,66,12,5
2014-12-21,1699,31,0,156,453,36,11,5
2014-12-26,1766,15,0,207,522,53,12,0
2015-01-01,1220,29,0,195,399,47,11,0
2015-01-06,1246,68,2,200,396,62,11,5
2015-01-11,1106,33,0,186,341,99,10,0
2015-01-16,1121,38,3,151,372,61,11,3
2015-01-21,1024,26,5,185,366,41,10,5
2015-01-26,1196,32,3,285,478,89,13,0
2015-02-01,887,19,0,163,375,47,10,0
2015-02-06,933,35,0,183,351,46,10,0
2015-02-11,942,43,4,222,326,45,10,0
2015-02-16,912,33,2,209,321,57,10,3
2015-02-21,935,32,1,178,304,63,10,0
2015-02-26,625,22,2,159,207,51,6,0
2015-03-01,1035,21,8,190,352,69,16,4
2015-03-06,1135,34,6,188,404,86,15,1
2015-03-11,977,48,9,170,336,54,24,2
2015-03-16,928,31,5,196,309,55,24,0
2015-03-21,1051,35,1,180,306,64,21,4
2015-03-26,1346,51,9,261,412,48,28,0
2015-04-01,1236,38,0,167,337,70,20,0
2015-04-06,1354,48,2,194,348,76,28,0
2015-04-11,1416,44,1,208,332,73,22,8
2015-04-16,1472,73,5,206,350,72,27,20
2015-04-21,1620,59,2,216,396,69,31,21
2015-04-26,1664,52,5,234,442,88,31,26
2015-05-01,1812,55,3,173,463,69,25,90
2015-05-06,1741,51,1,182,381,60,26,131
2015-05-11,1775,70,8,233,468,72,36,106
2015-05-16,1767,56,2,182,438,56,27,144
2015-05-21,1843,65,2,160,425,81,36,155
2015-05-26,2153,69,2,270,520,127,46,230
2015-06-01,1779,50,7,249,432,127,37,159
2015-06-06,1730,45,0,233,423,99,33,230
2015-06-11,1819,35,7,201,472,92,30,258
2015-06-16,1848,43,0,228,430,99,40,341
2015-06-21,1788,51,4,201,434,108,25,368
2015-06-26,1747,37,4,179,487,105,49,463
2015-07-01,1802,76,1,219,470,99,65,556
2015-07-06,1820,41,8,216,479,110,59,440
2015-07-11,1772,35,0,227,436,88,52,442
2015-07-16,1650,30,4,193,403,85,66,525
2015-07-21,1705,43,2,195,413,99,65,469
2015-07-26,2136,61,4,253,483,107,137,572
2015-08-01,1704,50,5,210,480,93,116,517
2015-08-06,1820,59,5,214,470,113,115,517
2015-08-11,1783,64,8,212,431,99,123,489
2015-08-16,1825,65,10,212,424,84,104,538
2015-08-21,1860,42,7,215,463,107,88,510
2015-08-26,2252,58,6,270,575,161,101,600
2015-09-01,1900,32,6,215,456,132,78,373
2015-09-06,1834,48,7,172,448,103,64,299
2015-09-11,1947,42,8,217,460,84,49,297
2015-09-16,2049,48,5,219,420,96,56,331
2015-09-21,2135,50,0,261,410,97,39,237
2015-09-26,2105,48,0,239,446,101,31,230
2015-10-01,2017,44,4,207,473,103,20,159
2015-10-06,1993,40,0,227,480,130,38,137
2015-10-11,2009,49,0,200,470,131,20,116
2015-10-16,1963,48,0,229,471,109,20,64
2015-10-21,2028,51,0,192,464,102,13,70
2015-10-26,2289,86,11,204,515,115,8,60
2015-11-01,1684,35,3,261,397,91,9,21
2015-11-06,1787,45,0,215,450,101,1,13
2015-11-11,1749,37,2,186,401,73,1,13
2015-11-16,1847,51,3,206,367,90,0,13
2015-11-21,1835,69,0,188,371,95,1,10
2015-11-26,1789,53,6,169,386,101,0,10
2015-12-01,1765,43,2,163,414,71,2,11
2015-12-06,1718,46,3,161,412,75,2,10
2015-12-11,1755,36,9,185,360,72,0,5
2015-12-16,1659,34,7,175,373,70,0,0
2015-12-21,1579,16,8,142,383,61,0,5
2015-12-26,1700,13,0,190,474,61,1,0
2016-01-01,1185,14,0,97,351,54,1,3
2016-01-06,1152,41,8,140,351,73,1,5
2016-01-11,1128,31,9,196,350,117,0,3
2016-01-16,1015,26,2,155,353,87,0,2
2016-01-21,1050,20,5,125,341,73,0,0
2016-01-26,1187,15,3,207,372,75,0,23
2016-02-01,1058,33,2,168,278,64,0,26
2016-02-06,939,25,2,134,265,72,0,11
2016-02-11,993,33,0,132,310,57,3,13
2016-02-16,1046,46,13,149,317,81,0,15
2016-02-21,1027,31,0,196,346,72,0,12
2016-02-26,841,31,0,132,273,50,0,7
2016-03-01,1161,39,11,132,281,60,1,7
2016-03-06,1065,43,16,154,302,77,16,0
2016-03-11,1144,40,10,193,350,68,11,2
2016-03-16,1017,44,2,140,302,62,17,8
2016-03-21,1136,25,7,134,305,73,23,14
2016-03-26,1499,50,4,150,462,118,12,15
2016-04-01,1269,55,0,110,350,63,13,16
2016-04-06,1356,39,5,177,375,80,20,22
2016-04-11,1444,48,2,152,390,90,18,27
2016-04-16,1468,54,2,158,336,89,30,50
2016-04-21,1513,40,3,177,370,68,30,58
2016-04-26,1589,56,7,153,403,76,33,52
2016-05-01,1521,56,0,158,371,57,25,109
2016-05-06,1530,51,1,147,369,77,30,106
2016-05-11,1635,65,2,165,363,110,30,130
2016-05-16,1623,35,24,182,381,83,22,150
2016-05-21,1526,46,3,150,411,77,14,240
2016-05-26,1993,57,11,209,579,96,27,283
2016-06-01,1590,53,5,184,491,128,20,263
2016-06-06,1577,60,3,177,526,125,29,217
2016-06-11,1562,51,5,229,492,92,32,241
2016-06-16,1680,61,0,214,503,132,23,409
2016-06-21,1761,70,6,224,513,122,38,433
2016-06-26,1700,42,7,198,494,112,39,482
2016-07-01,1708,45,7,172,472,107,52,489
2016-07-06,1692,58,16,175,393,110,57,498
2016-07-11,1791,53,7,174,397,118,86,459
2016-07-16,1721,55,1,166,456,96,66,519
2016-07-21,1755,43,2,143,443,114,71,536
2016-07-26,2173,51,4,204,550,108,149,686
2016-08-01,1740,53,14,189,476,91,99,495
2016-08-06,1832,54,6,175,433,105,123,549
2016-08-11,1844,47,0,159,451,105,124,516
2016-08-16,1966,70,8,174,445,144,112,522
2016-08-21,1881,71,3,151,393,91,135,474
2016-08-26,2211,61,0,180,515,122,131,516
2016-09-01,1913,42,0,132,459,94,66,505
2016-09-06,1767,67,5,195,380,105,73,330
2016-09-11,1955,68,3,164,404,108,83,354
2016-09-16,1990,42,12,145,387,98,62,393
2016-09-21,2040,50,3,169,386,85,50,391
2016-09-26,2067,60,14,202,399,94,40,247
2016-10-01,1953,78,8,151,408,104,37,287
2016-10-06,1962,52,7,153,456,110,26,265
2016-10-11,1974,84,5,190,443,131,26,133
2016-10-16,1993,62,9,206,435,133,23,104
2016-10-21,1988,63,12,194,445,113,19,83
2016-10-26,2312,96,13,242,522,131,25,90
2016-11-01,2002,75,8,218,444,82,0,31
2016-11-06,1752,77,3,180,420,101,4,6
2016-11-11,1813,70,2,186,416,83,2,1
2016-11-16,1887,58,1,208,406,76,0,3
2016-11-21,1887,57,7,183,400,84,4,0
2016-11-26,1896,43,6,184,358,88,0,6
2016-12-01,1875,53,3,162,353,113,0,12
2016-12-06,1905,55,4,161,378,108,2,5
2016-12-11,1719,44,3,183,346,62,1,5
2016-12-16,1707,40,1,178,369,40,0,7
2016-12-21,1779,27,2,126,402,26,0,6
2016-12-26,1855,30,0,178,456,53,6,0
2017-01-01,1350,31,2,127,358,40,4,1
2017-01-06,1329,37,1,162,381,56,2,0
2017-01-11,1264,51,0,157,360,86,0,0
2017-01-16,1078,43,0,137,357,71,1,0
2017-01-21,1110,46,0,128,346,98,0,0
2017-01-26,1293,80,0,151,394,72,1,0
2017-02-01,1053,57,11,120,342,41,2,2
2017-02-06,973,39,0,117,338,42,0,1
2017-02-11,1089,46,0,115,298,38,7,2
2017-02-16,1134,42,0,147,304,38,3,2
2017-02-21,1096,54,4,134,326,47,1,0
2017-02-26,621,31,0,74,192,15,0,2
2017-03-01,1056,42,6,137,290,48,0,2
2017-03-06,997,53,17,187,317,78,19,1
2017-03-11,1113,69,0,131,349,45,20,0
2017-03-16,1044,51,4,143,304,43,15,3
2017-03-21,1191,66,2,155,344,51,24,1
2017-03-26,1611,79,3,177,410,80,26,1
2017-04-01,1349,86,0,153,340,62,15,3
2017-04-06,1497,72,2,196,381,63,17,18
2017-04-11,1503,85,0,207,374,59,24,14
2017-04-16,1586,69,0,121,356,61,25,52
2017-04-21,1573,82,0,218,403,48,28,37
2017-04-26,1659,70,1,191,406,51,41,42
2017-05-01,1714,78,12,231,402,62,41,71
2017-05-06,1730,107,1,187,429,61,26,106
2017-05-11,1733,70,0,164,444,78,31,144
2017-05-16,1760,91,3,198,439,81,33,194
2017-05-21,1727,73,2,183,461,81,37,172
2017-05-26,2043,86,0,240,513,142,45,232
2017-06-01,1780,72,3,207,445,139,29,258
2017-06-06,1854,99,3,197,473,101,43,300
2017-06-11,1826,69,4,236,432,119,49,313
2017-06-16,1854,66,1,244,455,86,40,327
2017-06-21,1838,55,5,246,434,112,56,450
2017-06-26,1803,69,1,305,458,103,64,571
2017-07-01,1878,75,0,296,460,94,81,716
2017-07-06,1909,58,2,226,432,102,100,511
2017-07-11,1949,66,4,235,413,118,138,555
2017-07-16,1994,86,0,159,402,125,125,558
2017-07-21,1925,56,3,204,411,102,129,606
2017-07-26,2376,73,0,321,456,138,176,804
2017-08-01,1923,60,2,182,406,95,165,590
2017-08-06,1810,58,0,224,402,100,148,533
2017-08-11,1910,54,0,184,393,120,142,606
2017-08-16,1925,73,4,182,417,127,154,563
2017-08-21,1895,70,0,193,406,152,132,489
2017-08-26,2324,93,9,209,492,165,151,605
2017-09-01,1905,47,0,170,423,124,91,486
2017-09-06,2010,67,2,228,456,141,63,435
2017-09-11,2124,78,1,222,459,127,64,420
2017-09-16,2050,47,0,230,478,137,58,426
2017-09-21,2055,54,0,218,462,117,46,414
2017-09-26,2034,83,0,169,443,127,52,297
2017-10-01,2035,50,3,199,464,118,61,273
2017-10-06,1893,52,0,196,481,102,44,279
2017-10-11,1916,74,1,217,487,89,39,203
2017-10-16,1928,74,0,231,464,81,34,150
2017-10-21,1890,80,1,227,466,91,45,113
2017-10-26,2184,81,0,223,535,115,39,77
2017-11-01,1873,52,0,253,491,97,9,12
2017-11-06,1679,83,6,254,430,74,5,7
2017-11-11,1878,56,5,212,426,81,5,5
2017-11-16,1986,58,2,249,399,76,5,5
2017-11-21,1951,49,4,227,442,64,5,3
2017-11-26,2018,34,6,243,468,62,5,5
2017-12-01,1890,63,4,206,475,44,8,11
2017-12-06,1877,62,1,218,425,61,5,22
2017-12-11,1811,58,9,195,407,53,7,3
2017-12-16,1775,51,7,203,420,55,10,6
2017-12-21,1726,18,3,141,404,35,5,8
2017-12-26,1829,38,2,164,499,52,6,0
2018-01-01,1305,42,4,162,399,41,5,1
2018-01-06,1219,32,2,169,383,39,6,1
2018-01-11,1184,47,8,188,372,106,7,1
2018-01-16,1145,47,3,176,391,45,8,1
2018-01-21,1051,32,10,146,348,54,5,0
2018-01-26,1324,66,3,239,448,45,6,2
2018-02-01,1097,55,3,171,359,39,10,0
2018-02-06,1124,47,5,177,359,44,7,0
2018-02-11,1098,55,10,202,347,31,5,1
2018-02-16,1043,45,0,156,333,31,13,0
2018-02-21,1080,25,10,148,368,42,11,4
2018-02-26,664,27,6,93,250,34,3,0
2018-03-01,1084,34,10,151,372,56,5,1
2018-03-06,1034,47,17,153,340,52,5,0
2018-03-11,1070,38,6,191,385,55,25,1
2018-03-16,1051,30,7,200,339,37,19,3
2018-03-21,1116,44,7,163,371,52,17,2
2018-03-26,1555,59,10,268,455,71,18,3
2018-04-01,1283,51,2,191,397,74,15,3
2018-04-06,1431,47,13,187,423,68,18,10
2018-04-11,1448,65,6,237,442,76,20,17
2018-04-16,1498,52,12,160,437,59,36,25
2018-04-21,1590,44,3,197,486,64,15,30
2018-04-26,1629,56,9,236,544,58,34,55
2018-05-01,1831,53,9,242,564,57,26,60
2018-05-06,1764,58,3,210,563,51,30,84
2018-05-11,1791,54,4,219,533,65,35,127
2018-05-16,1856,54,4,215,466,43,51,221
2018-05-21,1884,40,16,217,432,69,61,213
2018-05-26,2278,56,16,253,559,110,43,261
2018-06-01,1968,49,15,230,496,95,32,241
2018-06-06,1910,71,12,178,495,99,45,315
2018-06-11,1890,64,16,203,506,90,47,257
2018-06-16,1838,75,7,215,528,76,57,294
2018-06-21,1960,51,3,212,412,93,46,361
2018-06-26,1994,77,16,219,453,95,51,432
2018-07-01,1926,76,7,232,471,88,84,428
2018-07-06,1930,63,6,194,474,79,91,451
2018-07-11,1921,60,2,232,494,106,96,543
2018-07-16,1999,82,4,225,495,92,103,550
2018-07-21,2044,68,13,179,489,97,105,521
2018-07-26,2446,66,6,297,516,105,116,660
2018-08-01,2068,70,6,175,419,94,149,559
2018-08-06,2074,51,7,214,424,91,133,475
2018-08-11,2128,74,4,198,437,90,129,553
2018-08-16,2101,61,10,200,478,72,129,544
2018-08-21,2143,70,4,208,467,96,89,468
2018-08-26,2505,101,5,212,585,133,103,563
2018-09-01,2034,53,0,147,484,119,73,462
2018-09-06,2145,63,5,158,484,90,62,395
2018-09-11,2216,64,5,207,471,116,68,333
2018-09-16,2265,52,0,182,449,92,58,368
2018-09-21,2281,57,5,180,428,104,58,342
2018-09-26,2347,50,3,187,434,84,35,348
2018-10-01,2189,51,6,204,427,93,42,207
2018-10-06,2063,54,1,181,422,77,28,279
2018-10-11,2022,71,8,177,393,99,36,168
2018-10-16,2131,46,3,167,417,74,28,111
2018-10-21,2116,65,8,174,451,70,30,100
2018-10-26,2459,47,10,247,458,103,19,103
2018-11-01,1931,34,2,185,354,89,5,27
2018-11-06,1868,67,4,175,360,82,7,14
2018-11-11,1991,39,2,182,360,58,3,14
2018-11-16,2111,46,8,180,433,69,3,9
2018-11-21,1997,30,4,146,399,66,0,9
2018-11-26,2025,50,4,185,449,63,0,2
2018-12-01,2056,40,8,178,451,77,0,12
2018-12-06,2028,27,11,164,448,61,0,13
2018-12-11,1898,42,5,154,445,63,0,12
2018-12-16,1800,46,12,174,453,56,0,6
2018-12-21,1705,18,1,147,465,32,0,7
2018-12-26,1844,34,4,201,472,41,0,0
2019-01-01,1439,24,2,149,349,29,0,4
2019-01-06,1402,29,1,139,364,60,0,0
2019-01-11,1334,32,0,180,407,93,2,0
