date,Merchant,Barges,Other,Tugs,Tanker,Fishing,Pleasure Crafts,Excursion
2021-01-01,7683,221,18,716,1797,273,51,0
2021-02-01,5574,238,24,632,1587,186,35,2
2021-03-01,6878,267,28,765,1996,237,34,8
2021-04-01,8742,248,39,823,2276,369,41,35
2021-05-01,10121,263,34,763,2307,424,173,207
2021-06-01,9637,298,41,866,2478,449,144,585
2021-07-01,10753,354,16,1150,2522,514,268,1300
2021-08-01,10699,350,21,977,2495,683,349,1384
2021-09-01,10563,291,42,1030,2275,609,280,1110
2021-10-01,11017,260,11,1035,2434,636,115,528
2021-11-01,10064,221,35,923,2349,460,20,26
2021-12-01,10308,245,12,729,2468,346,4,29
2022-01-01,1010,0,0,9,204,2,0,0
2022-02-01,16,0,0,0,0,0,0,0
