Harbour,Traffic
Cap-ã€-l'aigle,212
Country Harbour,211
Harrington,211
Trenton Usa,210
Seal Cove Harbour,210
Patricia Bay Harbour,208
Morrisburg Harbour,207
Sidney Harbour,205
Cambridge Bay/ikaluktutiak,204
Snb Fishing Area,201
Cape Dorset/kingait,200
Erebus Bay / Beechey Island,200
Neuville,200
L'anse-au-loup,195
Stag Bay Harbour,193
Port Inland Harbour,193
Westport Harbour,193
Lyall Harbour,192
Funk Island Bank,192
Arviat/eskimo Point,192
Lords Cove Harbour,190
Wakeham Bay/kangiqsujuaq/maricourt,184
Puvirnituq,184
St. Georges,182
Akulivik,182
Lunenburg,182
Inukjuak (port Harrison),181
Ivujivik (digges Island),181
Sechelt Harbour,179
Dundas Harbour,177
Thorold,174
Upper Bay Of Fundy Fishing Area,174
St-laurent I.o.,174
Quaqtaq (koartak),174
Baie Verte Harbour,174
Long Island Fishing Area,172
Pangnirtung,172
Digby,165
Makkovik,164
Alexandria Bay,163
Bonne Bay,162
Boucherville,159
Red Island,158
Seely's Cove Harbour,158
Coral Harbour/salliq,157
Pender Harbour,156
Kimmirut/lake Harbour,156
Chocolate Cove Harbour,156
"Grand Haven, Michigan",155
Serpent Harbour,154
Kangirsuk (payne Bay),154
Macdonald Island Harbour,151
Whale Cove/tikirarjuaq,151
Portugal Cove,149
Van Anda Harbour,148
Butedale Harbour,148
Hopedale,148
Paspebiac,147
Queen Chalotte City Harbour,147
"Escanaba, Michigan",146
Amherstburg,145
Kangiqsualujjuaq (george River),145
Croker Bay,144
Tãªte Ã La Baleine,143
Hermitage Harbour,142
Pool's Cove Harbour,141
Aupaluk,140
Discovery Island Harbour,140
Hartley Bay Village Harbour,139
"Buffington, Indiana",135
St. Andrews Harbour,135
Stephenville,134
Camp Bay,133
Little Narrows,133
Meteghan Harbour,132
Cornwall,132
Resolute Bay/qausuittuq,132
Belloram Port,131
Chatham,130
Gjoa Haven,128
Davidson Harbour,127
Best's Harbour,126
Kuujjuaraapik (great Whale),126
Botwood,126
Back Bay Harbour,126
St-joseph-de-la-rive,125
Rigolet,124
Nanoose Harbour,124
L:anse-ã -beaufils Marina,124
Umiujak (richmond Gulf),123
Broughton Island/qikiqtarjuaq,123
Tasiujaq,122
Sanikiluaq/belcher Islands,121
Point Tupper,120
Ellis Island,120
Herring Cove,120
Fairhaven Harbour,120
Harbour Buffett,118
Ile-aux-grues,118
Saglek,116
Havre-aubert,116
Riviã¨re Madeleine Marina,115
Miquelon,114
Namu Harbour,112
Cartwright,109
Arctic Bay/ikpiarjuk,108
Oak Bay Harbour,107
Grise Fiord/ausuittuq,107
Louisbourg,107
Clyde River/kangiqtugaapik,106
Point Roberts Harbour,101
Postville,99
Dildo,99
Sango Bay Harbour,98
Igloolik,98
"Marinette, Wisconsin",97
L'ã‰tang-du-nord Marina,97
Shelburne Bassin Drill Site,97
Repulse Bay/aivilik,96
Hall Beach/sanirayak,96
L'anse Aux Meadows,96
Kugluktuk/coppermine,94
Port Of Rencontre East,94
Bliss Island Harbour,94
Arichat,93
River Crab - St Clair Michigan,92
Station 27,92
Sturgeon Bay Harbour,91
Fort Ross,91
Neah Bay Harbour,90
Uchuklesit Inlet Harbour,90
"Cheboygan, Michigan",90
St-jean-port-joli,88
St. Albans,88
Sisimiut (holsteinborg),88
Burlington,87
Parrsboro Harbour,87
Trois-pistoles,87
Texada Island Harbour,86
Radstock Bay,86
Portneuf,84
Dalhousie,84
Taloyoak/spence Bay,84
Carleton,82
Beauharnois Dock,81
Cape Dyer,79
Percã©,79
Sylva Bay Harbour,77
Sucia Island Harbor,77
Brown Bay Harbour,76
"Port Huron, Michigan",76
Earl Ledge Harbour,76
Baie-st-paul,75
Baddeck,74
Contrecoeur Village,73
Ste-anne De Bellevue Harbour,72
Sambro Harbour,72
Meteghan River Harbour,72
San Juan Island Harbour,71
Sturdies Bay Harbour,71
Les Escoumins,70
Nanisivik,70
Mccullum,70
North Sydney,69
"Algonac, Michigan",68
Tuktoyaktuk Harbour,68
Ellen Bay Harbour,68
Pocologan Island Harbour,68
Liverpool,67
Port Hope Simpson,67
Port Dalhousie,66
Grosse-ile,66
Clarenville,66
Ontonagon Harbour,64
Woods Island Harbour,64
Lepreau Harbour,63
Port San Juan Harbour,63
Lavaltrie,63
Roberts Bank Harbour (arctic),61
Welshpool Harbour,61
Port Simpson Harbour,60
Riviere Ouelle,60
Monumental Island Port,60
Sooke Harbour,60
Pilley's Island,60
Buchan Gulf,59
"Menominee, Michigan",58
Port Dover,58
Red Bay,58
Diana Bay,57
Cobourg,57
Grande Bergeronne,57
Letang Harbour,56
Charlottetown Nfld,55
Skidegate Harbour,54
Brevort Harbour Michigan,54
Prince Leopold Island,53
Sugar Loaf Head,53
Nachvak Fjord Harbour,52
Breevoort,52
Akpatok Island,52
Mingan,52
Francois,52
Coningham Bay Harbour,52
Guysborough,51
"Munising, Michigan",51
Lower Savage Island,51
Fishing Area 2g,51
Le Bic Marina,51
Sandspit Harbour,50
Ingalls Head Harbour,50
Fishing Area 3o,48
Port Maitland,48
Jenny Lind Island/can 1a,48
Pelly Bay/kugaaruk,48
Burin,47
Isabella Bay,47
St. Lawrence,47
Bonaventure Harbour,47
Northumberland Anchorage,46
Dog Harbour,46
"Gladstone, Michigan",45
Caraquet,44
Aster Oil Feild,44
Pinsents Arm Harbour,43
Mont-louis,43
Port Stanley,42
Valdez Bluffs Harbour,42
Sam Ford Fjord,42
Mount Carmel,41
Beecher Bay Harbour,41
Fishing South,41
Canso,41
Otter Bay Harbour,40
Hebron Harbour,40
Port Of Fermeuse,40
Heriot Bay Harbour,40
Cowichan Harbour,39
Belleville,39
"Ludington, Michigan",39
Village Bay Harbour,38
Holman,38
Lambert Channel Harbour,38
Kitkatla Harbour,37
Masset Harbour,37
Trepassey,37
Georgetown,37
Miners Bay Harbour,36
Ilulissat/jakobshavn,36
Herschel Island,36
St-lambert Lower Wall Harbour,36
Cape Hooper,36
Foley's Cove Harbour,36
Johansen Bay,35
Catalina,35
St. Peter's,35
Riviere St Franã§ois,34
Merasheen,34
Battle Harbour,34
St-jean-deschaillons,34
Blubber Bay Harbour,33
Secret Cove Harbour,33
Davis Inlet,33
Cardinal,33
Carmanville,32
Longstaff Bluff,32
Philpots Island,32
Cheticamp Harbour,31
Ile Verte Harbour,31
Riviã¨re Au Tonnerre,31
Fishing Area 3n,30
Cape Mercy,30
Fleur De Lys Harbour,30
Lorneville Harbour,30
"Zilwaukee, Michigan",29
Mcdonald Island (off Gananoque) Marina,28
Old Fort Bay Harbour,28
Bear Head,28
Twillingate,28
Kemano Harbour,28
Repentigny,27
Montmagny,27
St. Margarets Bay Harbour,27
Okak Harbour,26
Kangok Fjord,26
Smoking Hills,26
Bella Coola Harbour,26
Port Leopold,26
Blaine Harbour,25
Fox Harbour,25
Isle Aux Morts Harbour,25
Metis-sur-mer,25
Batiscan,25
Vercheres,24
Coburg Island,24
Scott Inlet,24
Milhaven,24
Fort Erie,24
Bar Haven Harbour,23
Bremerton Harbour,23
Ingonish,23
Alliford Bay Harbour,23
Port Hood Harbour,23
Loks Land,22
Quidi Vidi Harbour,22
Maxwell Bay,22
New Richmond,22
Nicolet,21
Head Harbour,21
Sondre Stromfjord/kangerlussuaq,21
Marathon,20
Lasalle,20
Diver Bay Harbour,20
Smokey Harbour,20
Deer Island Point Harbour,20
Ladysmith Harbour,19
Uummannaq,19
Ramea,19
Cap Trinite (statue),18
Shippegan Harbour,18
Mid Bay Fishing Area,18
Resolution Island,18
Burnt Island Harbour,18
Pelee Island,18
Torbay Point,18
Ste-thã©rã¨se-de-gaspã©,18
Grande-rivã¨re,18
Wheatley,17
Baie Johan Beetz,17
Tobermory,17
Petites Harbour,17
Varennes,17
Pim Island,17
Petit-de-grat,17
Cape Henrietta Maria,17
Champlain,17
Labrador Bank,17
Lac St-louis (area),17
Baie Trinitã©,17
Williams Harbour,16
Craig Harbour,16
Thule/qanaq,16
Butterfly Bay,16
Grinnel Glacier,16
Tsawwassen Harbour,16
Petite Riviã¨re St Francois,16
Feachem Bay,16
Padloping Island,16
Brewer Bay,16
Erik Cove,16
Eureka,16
Port Royal,15
Thule Air Base,15
Anse A Benjamin,15
Lopez Island Harbour,14
Sackets Harbour,14
Bay L'argent,14
Erieau,14
Cape Hay,14
Rowley Island,14
"Manitowoc, Wisconsin",14
Dorval (lac St Louis) Marina,14
Fishing Ground East,14
Wolverine Field,13
Put-in-bay,13
Anse De Roches,13
Indian Harbour,13
Trinity,13
Cloridorme Quai Public,13
Millerand Marina,13
Northwest River Harbour,12
Orcas Island Harbour,12
Cape Harrison (webeck Harbour),12
Port Burwell,12
Roddickton,12
Couteau Bay,12
Victory Point,12
Wise Bay,12
Petty Harbour,12
Saulnierville Harbour,12
Marble Island,12
Nottingham Island Harbour,12
Wilsons Beach Harbour,12
Henley Harbour,11
Chevery Harbour,11
Bonavista,11
Edinburgh Island/pin Da,11
St-franã§ois I.o.,11
Riviã¨re Des Prairies Harbour,11
Port Washington Harbour,10
Marsoui,10
Kakkiviak Harbour,10
Bellot Strait,10
Shepherd Bay / Cam 3,10
Douglas Harbour Qc,10
Garden Cove Harbour,10
Tofino Harbour,10
"Alabaster, Michigan",10
Louiseville,10
Whaletown Harbour,10
Low Point,10
North Arm Fjord,10
St-michel-de-bellechasse,10
Cummings Cove Harbour,10
Frye Island Harbour,10
Freeport Harbour,10
Edmonds Harbour,9
Riviere Trois Saumons,9
Whitby,9
Portneuf-sur-mer,9
Massena,9
Lanse Au Clair Harbour,9
White Head Harbour,9
Maple Bay Harbour,9
Southern Harbour,9
Niagara On The Lake,9
Ministers Island Harbour,9
Killinek,9
Lanoraie - Tracy Anchorage South (5 To 9),9
Port Au Choix Harbour,9
Leamington,9
Torby Harbour,9
Butterfly Point Harbour,8
Walcan Seafoods Harbour,8
Niagara Bar,8
Kingwell,8
Bathurst Inlet/kingaok,8
Saint John Marina,8
Musquash Harbour,8
Yellowknife Harbour,8
"Taconite, Minnesota",8
Cape Tourmentine,8
Button Islands,8
Chance Harbour,8
Tay Sound Harbour,8
Annapolis Royal,8
Port Borden,8
Lime Klin Harbour,8
Butler Point Harbour,8
Little River Ferry Dock Harbour,7
Rocky Island Harbour,7
St Brides,7
Youngstown,7
Ste Marthe De Gaspe,7
Hay River Harbour,7
Tulita (fort Norman) Harbour,7
Aasiaat/egedesminde,7
Baie D'urfe Harbour,7
Marys Harbour,6
Lascie,6
Petit Saguenay,6
Bernard Harbour/pin Cb,6
Steensby Inlet,6
Shediac Harbour,6
Pritzler Harbour,6
Needle Cove,6
Lark Harbour,6
Giltoyees Inlet And Miskatla Inlet Anchorage,6
Glovertown Harbour,6
Walrus Island,6
Hook Point,6
Dumping Ground - Lac St-pierre,6
Port Epworth,6
Pointe-aux-cenelles,6
Margaree Harbour,6
Burgeo,6
Lockeport Harbour,6
Davis Cove Harbour,5
Michipicoten,5
Hatch Point Harbour,5
Ste-anne-de-beauprã©,5
Inuvik Harbour,5
Little Chicago Harbour,5
New Castle,5
Mahone Harbour,5
Dipper Harbour,5
Port Bickerton,5
Cap Chat,5
Piers Island Harbour,5
Waldron Island Harbour,5
Laconner Harbour,4
Tonawanda,4
Tiverton Harbour,4
Baychimo/umingmaktok,4
Dumping Ground - St-pierre Les Becquets,4
Packs Harbour,4
Winisk,4
Arctic Harbour,4
Skraeling Island,4
Seldom,4
Fort Resolution (deninoo Kue) Harbour,4
Norman Wells Harbour,4
Port Elgin/southampton,4
Kekertelung Island,4
Kekerten Island,4
Paulatuk,4
President Channel Harbour,4
Wood Island Port Of,4
Bathurst,4
High Bluff Island Harbour,4
Lady Franklin Point / Pin 3,4
Buchanan Bay,4
"Holland, Michigan",4
Valleyfield Harbour (newfoundland),4
Upernavik Harbour,4
Griffin Inlet,4
Jesse Harbour,4
Trincomali Channel Anchorage C,4
Cape St. Marys Harbour,4
Kingsport,4
Pointe Claire Harbour,4
Cape Graham Moore,4
Vesuvius Harbour,4
Ile Au Canot Harbour,4
Newport,4
"Mooretown, Ontario",4
Colchester Harbour,3
"Harbor Beach, Michigan",3
Blind River,3
Shoal Arm,3
Behchoko Harbour,3
Dunkirk,3
Grimsby,3
Lake St-francois Area,3
Tourelles,3
Sequim Harbour,3
Bradelle Bank Fishing Area,3
Prinyer Cove Harbour,3
Presqu'ile Point Harbour,3
Woody Island Harbour,3
Hantsport,2
Little Paradise,2
Royal Kennebecasis Yacht Club,2
Franklin Bay (west),2
Little Cornwallis Island,2
Fort Smith Harbour,2
Horn River Harbour,2
Lutsel K'e Harbour,2
Carbonear,2
Dungeness Bay Harbour,2
Bar-c Harbour,2
Fort Simpson (liidli Kue) Harbour,2
Renforth Yatch Club,2
Rushoon,2
Fairhaven,2
Alexandra Fiord,2
Paterson Inlet,2
Scudder,2
Wemindji New Post,2
Birch Bay Harbour,2
Collingwood,2
Leonardville Harbour,2
Navy Board Inlet,2
Itirbilung Fjord,2
Cunningham Inlet,2
Cape Young/pin 2a,2
Byron Bay,2
Riverport Harbour,2
Grand Bank,2
Broad Cove Harbour,2
Ecum Secum Harbour,2
Star Harbour (table Bay),2
"Port Lambton, Ontario",2
"Sheboygan, Wisconsin",2
Pointe-au-pere,2
St-barnabe Island,2
Tanquary Fiord,2
Sachs Harbour,2
Paamiut/frederikshaab,2
Godhavn/qeqertarsuaq,2
Bay De Verde,2
West Coast Firing North Anchorage,2
Hat Island/cam B,2
Gladman Point (cam 2) Harbour,2
Spencers Cove Harbour,2
Bayfeild Harbour,2
Pointe-aux-outardes,2
Sugluk Island Harbour,2
Comeauville Harbour,2
Bocabec Bay Harbour,2
Bridgewater Ns,2
Pointe Mouillee Harbour,2
"Traverse City, Michigan",2
Observation Point,2
Shaftesbury Inlet Harbour,2
Lexington Michigan,2
Grey River,2
Ross Point,2
Advocate Harbour,2
St. Brendans Harbour,2
St-sulpice,2
Letete Harbour,2
Tacks Beach,1
Christianshaab/qasigiannguit,1
Gore Bay,1
Liscomb Harbour,1
Fort Providence (zhahti Koe) Harbour,1
Speiden Channel Harbour,1
Little Harbour East,1
Norman Bay Harbour,1
Isle Valen,1
Trenton,1
Port St-franã§ois,1
Brule Harbour,1
Lahave Harbour,1
San Juan Channel Harbour,1
Savigsivik Harbour,1
Bangor Harbour,1
Clarks Harbour,1
Richelieu River,1
